,price,area,br,ba,posdt,dogs,cats,wd,house,apartment,laundry,garage,carport,furnished,latitude,longitude,zipc,num_img
154,1999.0,1165.0,2.0,2.0,2018-07-11T17:30:30-0700,1,1,1,0,1,0,0,0,0,47.3099,-122.2653,,13.0
155,2950.0,3000.0,3.0,3.0,2018-07-11T17:30:25-0700,1,1,1,1,0,0,1,0,0,47.655748,-122.192795,,11.0
156,1516.0,375.0,0.0,1.0,2018-07-11T17:30:03-0700,1,1,1,0,1,0,1,0,0,47.595776,-122.317136,98122,4.0
157,1786.0,700.0,1.0,1.0,2018-07-11T17:29:56-0700,0,0,0,0,0,0,0,0,0,47.665083,-122.166334,98033,3.0
158,1895.0,638.0,1.0,1.0,2018-07-11T17:29:48-0700,1,1,1,0,1,0,1,0,0,47.634019,-122.325285,98102,15.0
159,2299.0,1464.0,3.0,2.0,2018-07-11T17:29:35-0700,1,1,1,0,1,0,0,0,0,47.551889,-122.03918,,9.0
160,1520.0,773.0,1.0,1.0,2018-07-11T17:17:32-0700,1,1,1,0,1,0,0,1,0,47.665677,-122.669043,98383,11.0
161,2548.0,819.0,2.0,1.0,2018-07-11T17:19:24-0700,1,1,1,0,1,0,1,0,0,47.60442,-122.318968,98122,11.0
162,1755.0,733.0,1.0,1.0,2018-07-11T17:29:23-0700,1,1,1,0,1,0,0,0,0,47.6733,-122.3426,,8.0
163,1495.0,600.0,1.0,1.0,2018-07-11T17:29:12-0700,1,1,1,0,1,0,0,1,0,47.469154,-122.203568,98055,24.0
164,2899.0,771.0,2.0,1.0,2018-07-11T17:20:10-0700,1,1,1,0,1,0,1,0,1,47.662362,-122.319904,,20.0
165,1946.0,908.0,2.0,2.0,2018-07-11T17:28:51-0700,1,1,1,0,1,0,0,1,0,47.58728,-122.165427,98005,9.0
166,1725.0,481.0,0.0,1.0,2018-07-11T17:22:49-0700,1,1,1,0,1,0,1,0,0,47.604661,-122.31711,98122,15.0
167,2426.0,1095.0,2.0,2.0,2018-07-11T17:28:46-0700,1,1,1,0,1,0,0,0,0,47.681626,-122.102919,98052,17.0
168,1850.0,550.0,1.0,1.0,2018-07-11T17:28:43-0700,1,1,1,0,1,0,1,0,0,47.634019,-122.325285,98102,17.0
169,1825.0,,0.0,1.0,2018-07-11T17:28:24-0700,1,1,1,0,1,0,1,0,0,47.620513,-122.341261,98109,2.0
170,2545.0,783.0,1.0,1.0,2018-07-11T17:28:06-0700,1,1,1,0,1,0,1,0,0,47.678016,-122.202237,98033,24.0
171,1320.0,728.0,2.0,1.0,2018-06-15T07:01:36-0700,0,0,0,0,0,0,0,0,0,47.531246,-122.595511,,9.0
